37,043396083905,"Drunken Master","DVD",1978,tt0080179,111,"Woo-ping Yuen","Jackie Chan,Siu Tien Yuen,Jang Lee Hwang,Ching Chiang,Ging Man Fung,Hsia Hsu,Chiao Lin,Linda Lin,Ying Li,Chen Tien Loong,Woo-ping Yuen"
2,065935134589,"Dumb and Dumber","DVD",1994,tt0109686,106,"Peter Farrelly","Jim Carrey,Jeff Daniels,Lauren Holly,Mike Starr,Karen Duffy,Charles Rocket,Victoria Rowell,Joe Baker,Hank Brandt,Teri Garr,Peter Farrelly"
98,085391132653,"Enter the Dragon","Blu-ray",1973,tt0070034,102,"Robert Clouse","Bruce Lee,John Saxon,Kien Shih,Ahna Capri,Angela Mao,Jim Kelly,Robert Wall,Bolo Yeung,Betty Chung,Geoffrey Weeks,Robert Clouse"
11,085391420224,"Eraser","DVD",1996,tt0116213,115,"Chuck Russell","Arnold Schwarzenegger,James Caan,Vanessa Williams,James Coburn,Robert Pastorelli,James Cromwell,Danny Nucci,Andy Romano,Nick Chinlund,Michael Papajohn,Chuck Russell,Tony Puryear,Walon Green"
95,025192867422,"Evan Almighty","DVD",2007,tt0413099,96,"Tom Shadyac","Steve Carell,Morgan Freeman,Lauren Graham,Johnny Simmons,Graham Phillips,Jimmy Bennett,John Goodman,Wanda Sykes,John Michael Higgins,Jonah Hill,Tom Shadyac,Steve Oedekerk"
38,085391421122,"Executive Decision","DVD",1996,tt0116253,134,"Stuart Baird","Kurt Russell,Steven Seagal,Halle Berry,John Leguizamo,Oliver Platt,Joe Morton,B.D. Wong,Len Cariou,Whip Hubley,Andreas Katsulas,Stuart Baird,Jim Thomas,John Thomas"
102,085392106929,"Exit Wounds","DVD",2001,tt0242445,101,"Andrzej Bartkowiak","Anthony Anderson,Steven Seagal,DMX ,Isaiah Washington,Michael Jai White,Bill Duke,Jill Hennessy,Tom Arnold,Bruce McGill,David Vadim,Andrzej Bartkowiak"
80,012236046509,"First Blood","DVD",1982,tt0083944,96,"Ted Kotcheff","Sylvester Stallone,Richard Crenna,Brian Dennehy,Bill McKinney,Jack Starrett,Michael Talbott,Chris Mulkey,John McLiam,Alf Humphreys,David Caruso,Ted Kotcheff"
99,018713811035,"Fists of Fury","DVD",1971,tt0068767,97,"Wei Lo","Bruce Lee,Maria Yi,James Tien,Yin-Chieh Han,Malalene,Tony Liu,Kun Li,Nora Miao,San Chin,Chao Chen,Wei Lo"
20,085391257127,"Forever Young","DVD",1992,tt0104291,102,"Steve Miner","Mel Gibson,Jamie Lee Curtis,Elijah Wood,Isabel Glasser,George Wendt,Joe Morton,Nicolas Surovy,David Marshall Grant,Robert Hy Gorman,Millie Slavin,Steve Miner,J.J. Abrams"
79,097361564449,"Forrest Gump","DVD",1994,tt0109830,141,"Robert Zemeckis","Tom Hanks,Robin Wright Penn,Gary Sinise,Mykelti Williamson,Sally Field,Rebecca Williams,Michael Conner Humphreys,Harold G. Herthum,George Kelly,Bob Penny,Robert Zemeckis,Winston Groom,Eric Roth"
86,085392341023,"Ghost Ship","DVD",2002,tt0288477,91,"Steve Beck","Gabriel Byrne,Julianna Margulies,Ron Eldard,Desmond Harrington,Isaiah Washington,Karl Urban,Emily Browning,Francesca Rettondini,Alex Dimitriades,Boris Brkic,Steve Beck"
74,043396140851,"Godzilla","DVD",1998,tt0120685,139,"Roland Emmerich","Matthew Broderick,Jean Reno,Maria Pitillo,Hank Azaria,Kevin Dunn,Michael Lerner,Harry Shearer,Arabella Field,Vicki Lewis,Doug Savant,Roland Emmerich"
22,043396350175,"Grown Ups","Blu-ray",2010,tt1375670,102,"Dennis Dugan","Adam Sandler,Kevin James,Chris Rock,David Spade,Rob Schneider,Salma Hayek,Maria Bello,Maya Rudolph,Joyce Van Patten,Ebony Jo-Ann,Dennis Dugan"
48,043396215221,"Hollow Man","Blu-ray",2000,tt0164052,118,"Paul Verhoeven","Elisabeth Shue,Kevin Bacon,Josh Brolin,Kim Dickens,Greg Grunberg,Joey Slotnick,Mary Randle,William Devane,Rhona Mitra,Pablo Espinosa,Paul Verhoeven,Gary Scott Thompson,Andrew W. Marlowe"
49,043396145436,"Hollow Man 2","DVD",2006,tt0469916,91,"Claudio Fäh","Sarah Deakins,Jessica Harmon,Michael Kopsa,Colin Lawrence,Christian Slater,Peter Facinelli,Laura Regan,David McIlwraith,William MacDonald,Sonya Salomaa,Claudio Fäh"
8,013132186399,"Hunt To Kill","DVD",2010,tt1563719,97,"Keoni Waxman","Steve Austin,Gil Bellows,Gary Daniels,Marie Avgeropoulos,Emilie Ullerup,Michael Eklund,Donnelly Rhodes,Michael Hogan,Eric Roberts,Adrian Holmes,Keoni Waxman,Frank Hannah"
30,043396523197,"In the Line of Fire","DVD",1993,tt0107206,127,"Wolfgang Petersen","Clint Eastwood,John Malkovich,Rene Russo,Dylan McDermott,Gary Cole,Fred Dalton Thompson,John Mahoney,Gregory Alan Williams,Jim Curley,Sally Hughes,Wolfgang Petersen"
32,896010001270,"Innocent Voices","DVD",2004,tt0387914,110,"Luis Mandoki","Carlos Padilla,Leonor Varela,Xuna Primus,Gustavo Muñoz,José María Yazpik,Ofelia Medina,Daniel Giménez Cacho,Adrian Alonso,Alejandro Felipe,Paulina Gaitan,Luis Mandoki"
43,025192091223,"Jaws","DVD",1975,tt0073195,125,"Steven Spielberg","Jeffrey Kramer,Jonathan Filley,Ted Grossman,Chris Rebello,Jay Mello,Lee Fierro,Jeffrey Voorhees,Craig Kingsbury,Susan Backlinie,Roy Scheider,Steven Spielberg"
44,025192092824,"Jaws 2","DVD",1978,tt0077766,117,"Jeannot Szwarc","Roy Scheider,Lorraine Gary,Murray Hamilton,Joseph Mascolo,Jeffrey Kramer,Collin Wilcox Paxton,Ann Dusenberry,Mark Gruner,Barry Coe,Susan French,Jeannot Szwarc"
45,025192347627,"Jaws 3","DVD",1983,tt0085750,99,"Joe Alves","Dennis Quaid,Bess Armstrong,Simon MacCorkindale,Louis Gossett Jr.,John Putch,Lea Thompson,P.H. Moriarty,Dan Blasko,Liz Morris,Lisa Maurer,Joe Alves"
59,025192058523,"K-9","DVD",1989,tt0097637,102,"Rod Daniel","James Belushi,Mel Harris,Kevin Tighe,James Handy,Ed O'Neill,Koton,Daniel Davis,Cotter Smith,John Snyder,Pruitt Taylor Vince,Rod Daniel"
72,097360364347,"King Kong","DVD",1976,tt0074751,134,"John Guillermin","Jeff Bridges,Charles Grodin,Jessica Lange,John Randolph,Rene Auberjonois,Julius Harris,Jack O'Halloran,Dennis Fimple,Ed Lauter,Jorge Moreno,John Guillermin"
73,025192626029,"King Kong","DVD",2005,tt0360717,188,"Peter Jackson","Colin Hanks,Craig Hall,Chic Littlewood,John Wraight,Philip Grieve,Jamie Bell,Jack Black,Thomas Kretschmann,Naomi Watts,Adrien Brody,Peter Jackson"
12,024543044949,"Kiss of the Dragon","DVD",2001,tt0271027,98,"Chris Nahon","Vincent Wong,Jet Li,Bridget Fonda,Tchéky Karyo,Max Ryan,Ric Young,Burt Kwouk,Laurence Ashley,Cyril Raffaelli,Didier Azoulay,Chris Nahon"
19,013138010292,"Law Abiding Citizen","DVD",2009,tt1197624,109,"F. Gary Gray","Jamie Foxx,Gerard Butler,Colm Meaney,Bruce McGill,Leslie Bibb,Michael Irby,Gregory Itzin,Regina Hall,Emerald-Angel Young,Christian Stolte,F. Gary Gray"
46,012569828445,"Lethal Weapon","Blu-ray",1987,tt0093409,110,"Richard Donner","Mel Gibson,Renée Estevez,Mic Rodgers,Joan Severance,Danny Glover,Gary Busey,Mitch Ryan,Tom Atkins,Darlene Love,Traci Wolfe,Richard Donner,Shane Black"
47,012569829497,"Lethal Weapon 2","Blu-ray",1989,tt0097733,114,"Richard Donner","Mel Gibson,Danny Glover,Joe Pesci,Joss Ackland,Derrick O'Connor,Patsy Kensit,Darlene Love,Traci Wolfe,Steve Kahan,Mark Rolston,Richard Donner,Shane Black,Shane Black"
97,025192014628,"Liar Liar","DVD",1997,tt0119528,86,"Tom Shadyac","Jim Carrey,Maura Tierney,Justin Cooper,Cary Elwes,Anne Haney,Jennifer Tilly,Amanda Donohoe,Jason Bernard,Swoosie Kurtz,Mitch Ryan,Tom Shadyac,Paul Guay,Stephen Mazur"
7,025192038822,"Lionheart","DVD",1990,tt0100029,105,"Sheldon Lettich","Jean-Claude Van Damme,Harrison Page,Deborah Rennard,Lisa Pelikan,Ashley Johnson,Brian Thompson,Voyo Goric,Michel Qissi,George McDaniel,Eric Karson,Sheldon Lettich"
3,025192044250,"Little Fockers","DVD",2010,tt0970866,98,"Paul Weitz","Robert de Niro,Ben Stiller,Owen Wilson,Dustin Hoffman,Barbra Streisand,Blythe Danner,Teri Polo,Jessica Alba,Laura Dern,Kevin Hart,Paul Weitz,John Hamburg,Larry Stuckey,Jay Roach,Remi Adefarasin,Myron Kerstein,Myron Kerstein,Leslie Jones,Tom Targownik Taylor,Thomas T. Taylor"
26,043396009547,"Maid in Manhattan","DVD",2002,tt0252076,105,"Wayne Wang","Jennifer Lopez,Ralph Fiennes,Natasha Richardson,Stanley Tucci,Tyler Posey,Frances Conroy,Chris Eigeman,Amy Sedaris,Marissa Matrone,Priscilla Lopez,Wayne Wang"
50,085391448020,"Mars Attacks!","DVD",1996,tt0116996,106,"Tim Burton","Jack Nicholson,Tom Jones,Glenn Close,Natalie Portman,Annette Bening,Pierce Brosnan,Danny DeVito,Martin Short,Sarah Jessica Parker,Michael J. Fox,Tim Burton,Len Brown,Woody Gelman"
4,025192582424,"Meet the Fockers","DVD",2004,tt0290002,116,"Jay Roach","Robert de Niro,Ben Stiller,Dustin Hoffman,Barbra Streisand,Blythe Danner,Teri Polo,Owen Wilson,Spencer Pickren,Bradley Pickren,Alanna Ubach,Jay Roach"
34,025192113321,"Meet the Parents","DVD",2000,tt0212338,108,"Jay Roach","Robert de Niro,Ben Stiller,Teri Polo,Blythe Danner,Nicole DeHuff,Jon Abrahams,Owen Wilson,James Rebhorn,Thomas McCarthy,Phyllis George,Jay Roach,Greg Glienna,Mary Ruth Clarke"
100,794043138027,"Monster-In-Law","DVD",2005,tt0369735,100,"Robert Luketic","Jennifer Lopez,Jane Fonda,Michael Vartan,Wanda Sykes,Adam Scott,Monet Mazur,Annie Parisse,Will Arnett,Elaine Stritch,Stephen Dunham,Robert Luketic,Anya Kochoff"
69,024543005339,"My Cousin Vinny","DVD",1992,tt0104952,120,"Jonathan Lynn","Joe Pesci,Ralph Macchio,Marisa Tomei,Mitchell Whitfield,Fred Gwynne,Lane Smith,Austin Pendleton,Bruce McGill,Maury Chaykin,Paulene Myers,Jonathan Lynn,Dale Launer"
42,043396118096,"Never Talk to Strangers","DVD",1995,tt0113965,86,"Peter Hall","Rebecca De Mornay,Antonio Banderas,Dennis Miller,Len Cariou,Harry Dean Stanton,Eugene Lipinski,Martha Burns,Beau Starr,Phillip Jarrett,Tim Kelleher,Peter Hall"
35,027616843623,"No Way Out","DVD",1987,tt0093640,114,"Roger Donaldson","Kevin Costner,Gene Hackman,Sean Young,Will Patton,Howard Duff,George Dzundza,Jason Bernard,Iman ,Fred Dalton Thompson,Leon Russom,Roger Donaldson,Kenneth Fearing,Robert Garland"
